FECHA_CREACION,NUMERO_PQR,descripcion,clasificacion
2023-01-19 12:47:59,MDM-PQR-36419250,hacer titularidad factura llegar,1
2022-12-07 15:52:59,MDM-PQR-35568309,brindar descuento fecha cumplido solicitar validar adicional llegar factura,1
2023-02-21 19:58:57,MDM-PQR-37245248,validar si genero facturacion,1
2023-01-21 11:46:04,MDM-PQR-36465421,solicitar consulta pasar si pagar,0
2023-02-25 15:38:27,MDM-PQR-37337638,solicitar informacion facturacion,1
2022-12-02 21:31:31,MDM-PQR-35473834,solicitar concepto facturar,0
2022-12-07 12:43:09,MDM-PQR-35563505,ninero sano solicitar informacion incremento factura,0
2023-01-20 11:05:14,MDM-PQR-36439561,leth observacion solicitar informacion fact,1
2023-01-16 12:08:11,MDM-PQR-36338388,querer saber aumento factura,1
2023-01-24 11:42:55,MDM-PQR-36532014,oferta cumplido incremento facturacion,1
2023-02-20 18:13:03,MDM-PQR-37212819,subio factura,1
2022-12-02 07:28:09,MDM-PQR-35452215,atar garciaenvio factura informacion factura,1
2022-12-07 11:00:49,MDM-PQR-35560417,querer saber incremento factura,0
2022-12-28 01:49:53,MDM-PQR-35925256,requerir informacion factura generado generado manera fisico,1
2023-01-05 11:54:11,MDM-PQR-36120114,cobrar hbo parar habia,0
2022-12-23 18:55:02,MDM-PQR-35859093,recuperacion experiencia validacion acerco explicar incremento factura,1
2023-01-16 13:56:59,MDM-PQR-36342203,molestar incremento anual,0
2023-01-11 12:38:20,MDM-PQR-36236310,facturacion,0
2023-01-21 13:36:31,MDM-PQR-36468643,saber correo masivo,1
2023-01-30 17:32:40,MDM-PQR-36706061,acto desvio adicionalmente solicitar informacion contestador aparecer activo,0
2023-01-23 07:51:17,MDM-PQR-36490299,informacion saldo favor facturacion,0
2023-01-05 13:05:50,MDM-PQR-36123381,informacion factura,0
2023-01-20 12:55:16,MDM-PQR-36442834,solicitar informacion incremento,1
2023-01-11 19:30:22,MDM-PQR-36250440,aclarar concepto facturar,0
2023-02-24 20:46:43,MDM-PQR-37325000,nombrerodulfo uenhogar miny tipo segmento uenhogar dc segmentohogar dirar g categoriaplato telefono fijo motivo llamado informacion d tramit pendiente,0
2023-02-20 22:07:00,MDM-PQR-37216622,concepto facturar,1
2023-02-16 10:16:53,MDM-PQR-37124202,solicitar ajuste factura debido cobrar hbo empaquetado evidenciar solicitar ajuste retirar asesoramiento realizar plan unicar forma quitar sva empaquetado completo volver dejar plan tenia duir m hoy v retenido oferta basica escala gestor aplicar descuento manual fin garantizar tarifa basica penalizacion ajuste ajustado front incluido ajuste incluido diferencia ajuste correcto,0
2023-02-09 22:27:57,MDM-PQR-36992358,validar factura aumento,1
2023-02-10 09:15:22,MDM-PQR-36995996,modificar plan querer saber si dejar,1
2022-12-28 17:12:56,MDM-PQR-35943955,saber facturacion informacion,1
2023-01-27 17:45:57,MDM-PQR-36641085,muro factura,1
2023-01-24 14:15:53,MDM-PQR-36537869,indicar llego factura mil peso hacer fibra persona,1
2023-02-14 13:34:23,MDM-PQR-37082772,tv d subio costo factura poder pagar tema economico si desear cancelar,1
2022-12-14 07:47:44,MDM-PQR-35675173,factura llego,1
2023-02-02 12:29:49,MDM-PQR-36794128,dirar peticion llegar cobro distinto cuneto distinto registrar,0
2023-01-04 11:41:01,MDM-PQR-36087778,contacta aumento factura,0
2023-02-17 11:02:00,MDM-PQR-37149624,informacion contrato facturacion,0
2023-01-23 08:06:37,MDM-PQR-36490649,reacio descuento,0
2023-01-30 14:08:57,MDM-PQR-36697278,incremento factura,1
2022-12-09 17:43:25,MDM-PQR-35599505,duplicado factura,1
2023-02-07 12:12:12,MDM-PQR-36921532,requerir informacion si poder realizar ajuste factura fallo ajuste si aplicar deber ver reflejado siguiente factura si ver reflejado deber realizar respectivo ajuste,0
2022-12-27 15:51:09,MDM-PQR-35916153,dejar solicitar validar detalle cargo facturar,0
2023-01-25 21:51:54,MDM-PQR-36579693,batir solicitar informacion incremento factura,1
2023-02-15 16:23:56,MDM-PQR-37111857,plan factura pago,0
2022-12-02 13:42:52,MDM-PQR-35464137,desconto vez pago facturacion bancario,0
2023-02-07 11:31:53,MDM-PQR-36919939,realizar pago factura salir peso solicitar realizar factura correspondiente proximo ir pagar error,1
2023-01-19 08:41:03,MDM-PQR-36410229,jessy juran facturacion,1
2022-12-13 16:03:50,MDM-PQR-35666834,querer validar factura,0
2022-12-20 12:25:17,MDM-PQR-35787031,querer saber factura llego mas,0
2022-12-08 21:48:27,MDM-PQR-35580705,validar informacion facturacion,1
2023-02-22 09:19:57,MDM-PQR-37253010,nombreramirir rodrigu uenhogar miny tipo segmento uenhogar dc segmentohogar dirar once categoriaplatino indicar desear consultar costo factura llego,1
2022-12-27 14:29:01,MDM-PQR-35913763,plan,0
2022-12-21 18:03:50,MDM-PQR-35819801,jocelyn ponte informacion factura,0
2023-02-24 15:17:04,MDM-PQR-37317656,factura,1
2023-01-24 15:15:56,MDM-PQR-36539970,karate dirar peticion llegar mensaje cobro,0
2022-12-22 16:06:37,MDM-PQR-35837462,yenes g querer saber llego factura mil peso,1
2023-01-03 12:06:37,MDM-PQR-36056874,indicandono ir realizar pago factura ahora incremento,1
2023-01-26 09:12:00,MDM-PQR-36584942,valido factura llego factura tendria descuento,0
2022-12-29 13:03:32,MDM-PQR-35962413,acerca solicitar informacion costo facturacion mas cara,0
2023-01-19 19:15:49,MDM-PQR-36430825,indicar suspender pago habia pagado paso queja,1
2023-02-15 15:05:51,MDM-PQR-37109202,requerir informacion factura llego,1
2023-01-10 19:52:26,MDM-PQR-36220865,desear informacion factura llego incremento mil desear informacion,0
2023-02-22 10:01:07,MDM-PQR-37254715,pago factura hacer necesitar conectir urgente,0
2023-02-26 18:54:56,MDM-PQR-37349186,incremento,1
2022-12-14 10:24:55,MDM-PQR-35679057,cambiar metodo envio factura,1
2023-02-28 09:24:45,MDM-PQR-37383206,solicitar envio factura,0
2023-02-28 08:30:07,MDM-PQR-37381549,concepto facturar cobro elevado,0
2023-01-21 11:56:56,MDM-PQR-36465793,derivo tier solicitar informacion concepto facturar descuento poder cambiar plan,0
2023-02-16 10:11:35,MDM-PQR-37124016,desear cancelar tema costo incremento factura poder pagar,1
2023-01-20 21:03:19,MDM-PQR-36455223,factura,0
2023-01-21 14:44:20,MDM-PQR-36470092,ohcantoryahoocommx realizar cancelacion hbo winsportsport explicar factura,0
2023-01-24 12:30:32,MDM-PQR-36533918,validar llegar notificacion pago diferente,1
2023-02-16 15:12:24,MDM-PQR-37133956,contrato directv ahora querer cancelar,0
2023-01-23 16:20:46,MDM-PQR-36511106,querer confirmar factura llego mas pasado quintetir,1
2023-02-23 10:13:36,MDM-PQR-37282973,solicitar infroamcion cuento ir picar momento po n desear hacer envio contrato proceder generar envio finalizar llamado generar devolucion llamado contesta,0
2023-01-28 10:15:11,MDM-PQR-36651719,validado hacer referencia incremento factura informar referir incremento ley,1
2023-02-10 09:13:24,MDM-PQR-36995936,facturacion,0
2023-01-23 14:57:13,MDM-PQR-36507838,informacion factura,1
2023-01-27 09:25:28,MDM-PQR-36619635,mautorrespyahoocom informacion factura,0
2023-02-19 09:39:03,MDM-PQR-37183473,informacion factura,0
2023-02-08 13:07:51,MDM-PQR-36951473,solicitar informacion validacion pago realizado efecto,0
2023-01-25 08:51:34,MDM-PQR-36553356,informar poder realizar pago,0
2023-01-17 13:04:35,MDM-PQR-36368332,n desear saber deuda pago,0
2022-12-06 15:55:20,MDM-PQR-35546718,envio factura,1
2023-01-11 15:10:24,MDM-PQR-36242154,solicitar concepto facturar duplicado factura,1
2023-02-20 12:59:31,MDM-PQR-37203349,llego factura fecha limite pago podido pagar,0
2023-02-09 09:17:06,MDM-PQR-36969923,cobro reconexion,1
2023-02-13 11:17:25,MDM-PQR-37050522,concepto facturar,0
2022-12-13 15:18:39,MDM-PQR-35665596,incremento factura,1
2023-01-27 11:04:02,MDM-PQR-36624316,mensaje cobranza deuda,0
2023-02-20 13:06:39,MDM-PQR-37203569,incremento tarifa,1
2023-02-03 17:37:55,MDM-PQR-36840821,,0
2023-01-05 19:12:09,MDM-PQR-36135884,desear conocer concepto facturar incremento factura,0
2023-01-03 15:38:44,MDM-PQR-36064875,factura,0
2022-12-19 10:17:01,MDM-PQR-35758595,informacion tarifa mas economico,0
2023-02-17 11:36:07,MDM-PQR-37150712,confirmar aumento factura,0
2023-02-02 12:35:54,MDM-PQR-36794394,solicitar informacion factura,0
2022-12-26 12:53:20,MDM-PQR-35884929,aumento facturacion,0
2023-01-19 14:09:38,MDM-PQR-36422094,querer saber llego completo factura si disfrutado medio diar instalar,0
2023-01-21 08:16:26,MDM-PQR-36459267,querer informacion factura,1
2023-01-24 16:17:13,MDM-PQR-36542022,solicitar retirar costo incremento,1
2023-02-28 11:47:32,MDM-PQR-37388324,factura,1
2023-01-04 14:35:49,MDM-PQR-36094147,valido,1
2023-02-04 17:36:51,MDM-PQR-36862602,mal semana pasado subir factura querer saber,1
2023-02-20 15:14:35,MDM-PQR-37207836,dirar llamar caer llamado confirmar tratar devolver llamado,0
2023-02-14 16:52:50,MDM-PQR-37089136,factura llego cobro desconocer,0
2023-02-10 13:12:43,MDM-PQR-37006227,querer saber incremento factura,1
2023-02-07 11:09:13,MDM-PQR-36919009,validar ir realizar pago factura llego,0
2023-02-09 12:56:34,MDM-PQR-36978102,desear saber generar precio mas factura,1
2023-02-21 12:02:49,MDM-PQR-37228245,validar,0
2023-02-08 13:21:49,MDM-PQR-36951957,quinoar bracero fecha nacimiento fecha expedicion dirar acerca senor quinoar bajo previo validacion informar llegar llamado cobro suspendido verifico actual suspendido pago pagar fecha diar ingresado fecha corte pago promocion act promocion descuento prorrateo activo hacer pago,0
2022-12-02 11:53:34,MDM-PQR-35460515,be asuntocosto facturar,1
2023-02-03 14:26:29,MDM-PQR-36834030,solicitar aclaracion factura,0
2022-12-14 10:13:49,MDM-PQR-35678730,nombreinesjorge girar telefono dirar once desear clientefacturacion,1
2023-02-28 18:15:21,MDM-PQR-37400554,querer validar factura,0
2023-01-03 23:39:28,MDM-PQR-36074916,querer saber llegar tanto,0
2023-01-19 15:29:21,MDM-PQR-36424903,taro sano tarosanoicloudcom dirar descripcion habia directv sirvio habia decir realizar ajuste,0
2023-01-27 14:06:03,MDM-PQR-36633083,querer hacer acuerdo pago,1
2023-01-03 11:25:37,MDM-PQR-36055016,factura,1
2022-12-01 08:10:03,MDM-PQR-35426133,informacion incremento factura,0
2022-12-22 09:48:42,MDM-PQR-35827314,et solicitar informacion factura,1
2023-01-18 16:09:30,MDM-PQR-36399872,solicitar aclaracion factura,1
2022-12-23 08:26:04,MDM-PQR-35845321,caido factura aun generado,0
2022-12-14 16:14:36,MDM-PQR-35689330,validar factura,0
2022-12-01 12:28:43,MDM-PQR-35435622,concepto facturar,1
2023-01-17 17:02:21,MDM-PQR-36376013,saber concepto facturar,1
2023-01-20 13:48:05,MDM-PQR-36444423,llego factura peso plan hbo cobro,0
2022-12-01 20:00:00,MDM-PQR-35448500,plan quedar incremento tarifario,0
2023-01-05 15:13:17,MDM-PQR-36128261,concepto facturar,1
2023-01-11 16:23:51,MDM-PQR-36244864,dudar factura,1
2023-02-20 13:42:33,MDM-PQR-37204768,cancelo llego factura,0
2023-01-03 11:28:16,MDM-PQR-36055131,diar solicitar reclamacion segun dar favorabildiad ajuste embargo habia pagado completo nuevamente enviar factura pagar validar saw pago evidenciar pago decir deber pagar,0
2023-01-05 14:43:19,MDM-PQR-36127224,requerir envio factura,1
2023-02-04 14:38:55,MDM-PQR-36859065,twitter ginaporra validar cobro factura,0
2023-01-23 14:38:15,MDM-PQR-36507051,solicitar informacion factura,0
2022-12-13 06:15:45,MDM-PQR-35651231,incremento factura,1
2023-01-20 17:02:25,MDM-PQR-36450613,validacion factura validar proceso pago plataforma dejar ser exitoso proceso poder realizar pago,0
2023-02-01 16:30:55,MDM-PQR-36768435,hacer pago factura nunca ver reflejado descuento volver pagar factura normal,1
2023-01-11 18:53:45,MDM-PQR-36249582,cereal bolilla acerca solicitar concepto facturacion,0
2023-01-31 11:33:48,MDM-PQR-36725320,nombrekevin dirar asuntofacturacion problema plan,0
2023-01-12 12:24:07,MDM-PQR-36263865,sva,0
2022-12-01 14:41:17,MDM-PQR-35440001,factura,0
2023-01-18 11:50:20,MDM-PQR-36390694,concepto facturar,1
2022-12-30 13:04:23,MDM-PQR-35986737,desear saber incremento factura explicar detalladamente,0
2023-02-22 21:53:59,MDM-PQR-37277244,rodrigu micanconcepto facturar promocion plan expirar,0
2023-01-02 17:25:31,MDM-PQR-36037385,querer saber factura llego,0
2023-01-11 14:57:24,MDM-PQR-36241778,contacta proque factura llego,0
2023-02-13 11:33:33,MDM-PQR-37051134,caballo solicitar verificar concepto cobro factura,0
2023-02-21 09:26:32,MDM-PQR-37221470,solicitar inconfor cobro factura cobrar llamado ld realizar diar contrato cambiolargadistancia chad solicitar ajuste,0
2023-01-30 17:07:51,MDM-PQR-36705163,factura llegar plan,1
2022-12-01 20:02:07,MDM-PQR-35448554,requerir informacion mantener pendiente diar,0
2022-12-22 15:31:41,MDM-PQR-35836721,informar ningun pendiente realacer ajuste ultimo factura habia generado envia salvo pendiente,1
2023-01-02 07:33:48,MDM-PQR-36016089,facturacion,1
2023-02-07 20:31:43,MDM-PQR-36936933,confirmar aumento factura,1
2023-01-12 09:36:47,MDM-PQR-36257796,sirena heno solicitar factura,0
2023-02-16 08:55:10,MDM-PQR-37121424,confirmar aumento factura,0
2023-02-28 08:17:09,MDM-PQR-37381221,desear modificar fecha facturacion,1
2022-12-28 13:16:07,MDM-PQR-35937162,concepto facturar,1
2023-02-11 12:30:57,MDM-PQR-37026254,factura,1
2022-12-12 19:48:06,MDM-PQR-35648396,factura,0
2022-12-09 11:04:25,MDM-PQR-35587105,consultar aumento factura,1
2023-02-14 15:56:56,MDM-PQR-37087273,poder solicitar validar concepto facturar,0
2023-02-10 12:51:10,MDM-PQR-37005354,validar informacion facturacion,0
2023-01-23 10:42:04,MDM-PQR-36496610,factura llego monto mas normal,0
2023-02-10 18:06:20,MDM-PQR-37015190,pedir ajuste factura bajo realacer cambioplar arch asesoramiento cerrar caso evidenciar cargo correcto ultimo facturacion evidenciar correcto bajo incluir oferta cambioplar arch h incluido justificacion penalizacion ajuste ajustado front incluido ajuste incluido diferencia ajuste correcto,0
2023-02-12 10:45:42,MDM-PQR-37036715,querer acuerdo pago,0
2023-02-07 21:31:43,MDM-PQR-36937930,desear saber deber aumento factura,1
2023-02-03 09:22:44,MDM-PQR-36821239,solicitar,0
2022-12-02 11:09:42,MDM-PQR-35458858,informacion factura,1
2023-02-21 12:05:21,MDM-PQR-37228373,urbir dirar llamar informar llegar factura mas siempre llegar razon,0
2023-01-27 14:38:04,MDM-PQR-36634412,concepto facturar,0
2023-02-06 10:36:18,MDM-PQR-36886993,estar generar cobro llamado largo distancia,1
2023-02-10 11:27:52,MDM-PQR-37001699,factura,1
2023-02-22 17:46:32,MDM-PQR-37272797,teller solicitar informacion pagar factura,1
2023-01-12 09:33:39,MDM-PQR-36257699,cancelo seguir generar factura,0
2022-12-09 12:37:30,MDM-PQR-35590617,informacion factura habiar indicado quedar pagar,1
2023-02-14 17:18:13,MDM-PQR-37089931,nombreapg consultar uenhogar miny tipo segmento uenmipy dc segmentopequen emailjparadaapgconsultingcomar dirar once of categoriaplatino telefono fijo campan act esquema atencion mietbaprietoapgconsultingcomar codigo lisiar recuperacion experiencia tipo atencion,0
